"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2025年06月20日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈"
"2020100000","2020年度","02321","青森県 鰺ヶ沢町","","9,044",""
"2020100000","2020年度","02323","青森県 深浦町","","7,346",""
"2020100000","2020年度","02343","青森県 西目屋村","","1,265",""
"2020100000","2020年度","02361","青森県 藤崎町","","14,573",""
"2020100000","2020年度","02362","青森県 大鰐町","","8,665",""
"2020100000","2020年度","02367","青森県 田舎館村","","7,326",""
"2020100000","2020年度","02381","青森県 板柳町","","12,700",""
"2020100000","2020年度","02384","青森県 鶴田町","","12,074",""
"2020100000","2020年度","02387","青森県 中泊町","","9,657",""
"2020100000","2020年度","02401","青森県 野辺地町","","12,374",""
"2020100000","2020年度","02402","青森県 七戸町","","14,556",""
"2020100000","2020年度","02405","青森県 六戸町","","10,447",""
"2020100000","2020年度","02406","青森県 横浜町","","4,229",""
"2020100000","2020年度","02408","青森県 東北町","","16,428",""
"2020100000","2020年度","02411","青森県 六ヶ所村","","10,367",""
"2020100000","2020年度","02412","青森県 おいらせ町","","24,273",""
"2020100000","2020年度","02423","青森県 大間町","","4,718",""
"2020100000","2020年度","02424","青森県 東通村","","5,955",""
"2020100000","2020年度","02425","青森県 風間浦村","","1,636",""
"2020100000","2020年度","02426","青森県 佐井村","","1,788",""
"2020100000","2020年度","02441","青森県 三戸町","","9,082",""
"2020100000","2020年度","02442","青森県 五戸町","","16,042",""
"2020100000","2020年度","02443","青森県 田子町","","4,968",""
"2020100000","2020年度","02445","青森県 南部町","","16,809",""
"2020100000","2020年度","02446","青森県 階上町","","13,496",""
"2020100000","2020年度","02450","青森県 新郷村","","2,197",""
"2020100000","2020年度","03201","岩手県 盛岡市","","289,731",""
"2020100000","2020年度","03202","岩手県 宮古市","","50,369",""
"2020100000","2020年度","03203","岩手県 大船渡市","","34,728",""
"2020100000","2020年度","03205","岩手県 花巻市","","93,193",""
"2020100000","2020年度","03206","岩手県 北上市","","93,045",""
